method,cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
SOM,0.0,0.2,0.5202312138728323,0.54,0.5299313052011776,0.521,0.5151515151515151,0.476,0.49480249480249483,0.514,0.9902356902356902,0.8814814814814814,0.9337106337106338,0.9865642994241842
K-Means (Exclusive),0.0,0.2,0.4928131416837782,0.48,0.48632218844984804,0.493,0.497131931166348,0.52,0.5083088954056696,0.497,1.0087635436583813,1.0833333333333335,1.045210166177908,1.0081135902636917
DBSCAN (Density),0.0,0.2,0.6923076923076923,0.018,0.03508771929824561,0.505,0.5,1.0,0.6666666666666666,0.5,0.7222222222222222,55.55555555555556,19.0,0.9900990099009901
Agglomerative (Hierarchical),0.0,0.2,0.4984423676012461,0.32,0.38976857490864797,0.499,0.4953271028037383,0.53,0.5120772946859904,0.495,0.99375,1.65625,1.3137983091787442,0.9919839679358717
GMM (Probabilistic),0.0,0.2,0.4924406047516199,0.456,0.4735202492211838,0.493,0.5037878787878788,0.532,0.5175097276264592,0.504,1.0230429292929293,1.1666666666666667,1.092898832684825,1.0223123732251522
SOM,0.0,0.30000000000000004,0.48764044943820223,0.434,0.45925925925925926,0.489,0.5091911764705882,0.554,0.5306513409961686,0.51,1.0441938872323122,1.2764976958525347,1.1554505005561737,1.0429447852760736
K-Means (Exclusive),0.0,0.30000000000000004,0.491869918699187,0.484,0.4879032258064516,0.492,0.504835589941973,0.522,0.5132743362831859,0.505,1.0263599597167383,1.078512396694215,1.0520002925473562,1.0264227642276422
DBSCAN (Density),0.0,0.30000000000000004,0.5,0.014,0.027237354085603113,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,71.42857142857143,24.476190476190474,1.0
Agglomerative (Hierarchical),0.0,0.30000000000000004,0.50390625,0.516,0.5098814229249012,0.504,0.4929078014184397,0.278,0.3554987212276215,0.496,0.9781736214195392,0.5387596899224807,0.6972184222526219,0.9841269841269841
GMM (Probabilistic),0.0,0.30000000000000004,0.4936440677966102,0.466,0.4794238683127572,0.494,0.4913294797687861,0.51,0.5004906771344455,0.491,0.9953112208191718,1.094420600858369,1.0439419274134787,0.9939271255060729
SOM,0.0,0.4000000000000001,0.4965277777777778,0.572,0.5315985130111525,0.496,0.5260663507109005,0.444,0.48156182212581344,0.522,1.059490272760415,0.7762237762237763,0.9058750360268798,1.0524193548387097
