cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
0.0,0.2,0.582,0.676,0.625,0.595,0.609,0.686,0.645,0.623,1.047,1.015,1.032,1.047
0.0,0.3,0.613,0.696,0.652,0.628,0.619,0.652,0.635,0.625,1.01,0.937,0.974,0.995
0.0,0.4,0.607,0.732,0.664,0.629,0.607,0.67,0.637,0.618,1.0,0.915,0.96,0.983
0.0,0.5,0.596,0.738,0.66,0.619,0.607,0.65,0.628,0.615,1.019,0.881,0.952,0.994
0.0,0.6,0.61,0.67,0.639,0.621,0.61,0.652,0.631,0.618,1.0,0.973,0.987,0.995
0.0,0.7,0.613,0.684,0.647,0.626,0.605,0.726,0.66,0.626,0.987,1.061,1.021,1.0
0.0,0.8,0.623,0.624,0.623,0.623,0.613,0.662,0.637,0.622,0.984,1.061,1.021,0.998
0.5,0.2,0.893,0.918,0.905,0.904,0.796,0.786,0.791,0.792,0.891,0.856,0.873,0.876
0.5,0.3,0.79,0.882,0.834,0.824,0.743,0.808,0.774,0.764,0.94,0.916,0.928,0.927
0.5,0.4,0.758,0.778,0.768,0.765,0.734,0.758,0.746,0.742,0.969,0.974,0.971,0.97
0.5,0.5,0.717,0.744,0.73,0.725,0.654,0.814,0.725,0.692,0.913,1.094,0.994,0.954
0.5,0.6,0.714,0.738,0.726,0.721,0.688,0.696,0.692,0.69,0.964,0.943,0.953,0.957
0.5,0.7,0.66,0.744,0.699,0.68,0.671,0.714,0.692,0.682,1.017,0.96,0.989,1.003
0.5,0.8,0.651,0.738,0.692,0.671,0.635,0.746,0.686,0.659,0.976,1.011,0.992,0.982
1.0,0.2,0.994,0.994,0.994,0.994,0.916,0.956,0.935,0.934,0.921,0.962,0.941,0.94
1.0,0.3,0.962,0.96,0.961,0.961,0.913,0.878,0.895,0.897,0.949,0.915,0.931,0.933
1.0,0.4,0.901,0.91,0.905,0.905,0.856,0.868,0.862,0.861,0.95,0.954,0.952,0.951
1.0,0.5,0.869,0.794,0.83,0.837,0.792,0.86,0.825,0.817,0.912,1.083,0.994,0.976
1.0,0.6,0.83,0.8,0.815,0.818,0.779,0.804,0.791,0.788,0.939,1.005,0.971,0.963
1.0,0.7,0.775,0.804,0.789,0.785,0.761,0.804,0.782,0.776,0.983,1.0,0.991,0.989
1.0,0.8,0.762,0.806,0.783,0.777,0.747,0.802,0.773,0.765,0.98,0.995,0.987,0.985
1.5,0.2,1.0,1.0,1.0,1.0,0.988,1.0,0.994,0.994,0.988,1.0,0.994,0.994
1.5,0.3,0.99,0.994,0.992,0.992,0.974,0.98,0.977,0.977,0.984,0.986,0.985,0.985
1.5,0.4,0.963,0.986,0.974,0.974,0.942,0.95,0.946,0.946,0.979,0.963,0.971,0.971
1.5,0.5,0.936,0.934,0.935,0.935,0.89,0.934,0.911,0.909,0.95,1.0,0.975,0.972
1.5,0.6,0.927,0.884,0.905,0.907,0.895,0.87,0.882,0.884,0.966,0.984,0.975,0.975
1.5,0.7,0.873,0.88,0.876,0.876,0.83,0.89,0.859,0.854,0.951,1.011,0.98,0.975
1.5,0.8,0.838,0.87,0.854,0.851,0.829,0.856,0.843,0.84,0.99,0.984,0.987,0.987
2.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.3,1.0,1.0,1.0,1.0,0.994,0.998,0.996,0.996,0.994,0.998,0.996,0.996
2.0,0.4,0.998,0.988,0.993,0.993,0.965,0.988,0.976,0.976,0.967,1.0,0.983,0.983
2.0,0.5,0.976,0.988,0.982,0.982,0.968,0.978,0.973,0.973,0.992,0.99,0.991,0.991
2.0,0.6,0.954,0.96,0.957,0.957,0.901,0.966,0.932,0.93,0.944,1.006,0.974,0.972
2.0,0.7,0.921,0.95,0.935,0.934,0.926,0.93,0.928,0.928,1.006,0.979,0.993,0.994
2.0,0.8,0.901,0.908,0.904,0.904,0.875,0.922,0.898,0.895,0.971,1.015,0.993,0.99
2.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.4,1.0,1.0,1.0,1.0,0.992,1.0,0.996,0.996,0.992,1.0,0.996,0.996
2.5,0.5,0.988,0.996,0.992,0.992,0.978,0.986,0.982,0.982,0.99,0.99,0.99,0.99
2.5,0.6,0.992,0.99,0.991,0.991,0.986,0.984,0.985,0.985,0.994,0.994,0.994,0.994
2.5,0.7,0.956,0.992,0.974,0.973,0.943,0.968,0.956,0.955,0.987,0.976,0.982,0.982
2.5,0.8,0.952,0.954,0.953,0.953,0.942,0.95,0.946,0.946,0.99,0.996,0.993,0.993
3.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.5,1.0,0.998,0.999,0.999,0.992,1.0,0.996,0.996,0.992,1.002,0.997,0.997
3.0,0.6,0.996,0.998,0.997,0.997,0.992,0.994,0.993,0.993,0.996,0.996,0.996,0.996
3.0,0.7,0.99,0.982,0.986,0.986,0.971,0.992,0.981,0.981,0.981,1.01,0.995,0.995
3.0,0.8,0.972,0.978,0.975,0.975,0.949,0.974,0.962,0.961,0.976,0.996,0.986,0.986
3.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
