cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
1,0.2,1,1,1,1,0.935,1,0.966,0.965,0.935,1,0.966,0.965
1,0.3,0.951,1,0.975,0.974,0.785,1,0.88,0.863,0.826,1,0.902,0.886
1,0.4,0.888,1,0.941,0.937,0.796,1,0.887,0.872,0.896,1,0.942,0.931
1,0.5,0.726,1,0.841,0.811,0.718,1,0.836,0.804,0.99,1,0.994,0.991
1,0.6,0.661,1,0.796,0.744,0.631,1,0.774,0.708,0.955,1,0.972,0.952
1.5,0.2,1,1,1,1,0.998,1,0.999,0.999,0.998,1,0.999,0.999
1.5,0.3,1,1,1,1,0.984,1,0.992,0.992,0.984,1,0.992,0.992
1.5,0.4,0.994,1,0.997,0.997,0.954,1,0.977,0.976,0.96,1,0.979,0.979
1.5,0.5,0.963,1,0.981,0.981,0.861,1,0.925,0.919,0.893,1,0.943,0.937
1.5,0.6,0.864,1,0.927,0.921,0.816,1,0.898,0.887,0.945,1,0.969,0.963
2,0.2,1,1,1,1,1,1,1,1,1,1,1,1
2,0.3,1,1,1,1,0.996,1,0.998,0.998,0.996,1,0.998,0.998
2,0.4,1,1,1,1,0.99,1,0.995,0.995,0.99,1,0.995,0.995
2,0.5,0.986,1,0.993,0.993,0.956,1,0.978,0.977,0.969,1,0.984,0.984
2,0.6,0.96,1,0.979,0.979,0.914,1,0.955,0.953,0.952,1,0.975,0.973
2.5,0.2,1,1,1,1,1,1,1,1,1,1,1,1
2.5,0.3,1,1,1,1,1,1,1,1,1,1,1,1
2.5,0.4,1,1,1,1,0.998,1,0.999,0.999,0.998,1,0.999,0.999
2.5,0.5,1,1,1,1,0.996,1,0.998,0.998,0.996,1,0.998,0.998
2.5,0.6,0.998,1,0.999,0.999,0.977,1,0.988,0.988,0.979,1,0.989,0.989
3,0.2,1,1,1,1,1,1,1,1,1,1,1,1
3,0.3,1,1,1,1,1,1,1,1,1,1,1,1
3,0.4,1,1,1,1,1,1,1,1,1,1,1,1
3,0.5,1,1,1,1,0.998,1,0.999,0.999,0.998,1,0.999,0.999
3,0.6,1,1,1,1,0.998,1,0.999,0.999,0.998,1,0.999,0.999
3.5,0.2,1,1,1,1,1,1,1,1,1,1,1,1
3.5,0.3,1,1,1,1,1,1,1,1,1,1,1,1
3.5,0.4,1,1,1,1,1,1,1,1,1,1,1,1
3.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
3.5,0.6,1,1,1,1,0.998,1,0.999,0.999,0.998,1,0.999,0.999
4,0.2,1,1,1,1,1,1,1,1,1,1,1,1
4,0.3,1,1,1,1,1,1,1,1,1,1,1,1
4,0.4,1,1,1,1,1,1,1,1,1,1,1,1
4,0.5,1,1,1,1,1,1,1,1,1,1,1,1
4,0.6,1,1,1,1,1,1,1,1,1,1,1,1
