method,cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
SOM,0.0,0.2,0.5063520871143375,0.558,0.5309229305423406,0.507,0.49473684210526314,0.47,0.48205128205128206,0.495,0.9770609318996416,0.8422939068100357,0.907949636981895,0.9763313609467456
K-Means (Exclusive),0.0,0.2,0.4900662251655629,0.444,0.46589716684155297,0.491,0.488,0.488,0.488,0.488,0.9957837837837837,1.099099099099099,1.0474414414414415,0.9938900203665988
DBSCAN (Density),0.0,0.2,0.4166666666666667,0.01,0.01953125,0.498,0.5,1.0,0.6666666666666666,0.5,1.2,100.0,34.13333333333333,1.0040160642570282
Agglomerative (Hierarchical),0.0,0.2,0.4676258992805755,0.26,0.3341902313624679,0.482,0.4894894894894895,0.326,0.39135654261704683,0.493,1.0467544467544467,1.2538461538461538,1.1710591929079324,1.0228215767634854
GMM (Probabilistic),0.0,0.2,0.48201438848920863,0.402,0.43838604143947657,0.485,0.4789579158316633,0.478,0.47847847847847846,0.479,0.9936589597104657,1.189054726368159,1.0914546387183202,0.9876288659793815
SOM,0.0,0.30000000000000004,0.47297297297297297,0.49,0.481335952848723,0.472,0.49507389162561577,0.402,0.44370860927152317,0.496,1.0467276565798733,0.8204081632653062,0.92182727395594,1.0508474576271187
K-Means (Exclusive),0.0,0.30000000000000004,0.5209713024282561,0.472,0.49527806925498424,0.519,0.5036630036630036,0.55,0.5258126195028681,0.504,0.966776867200596,1.1652542372881358,1.0616513270894772,0.9710982658959537
DBSCAN (Density),0.0,0.30000000000000004,0.3333333333333333,0.01,0.019417475728155338,0.495,0.5,1.0,0.6666666666666666,0.5,1.5,100.0,34.333333333333336,1.0101010101010102
Agglomerative (Hierarchical),0.0,0.30000000000000004,0.48427672955974843,0.308,0.3765281173594132,0.49,0.5041095890410959,0.368,0.4254335260115607,0.503,1.0409535669809644,1.1948051948051948,1.1298851437579762,1.026530612244898
GMM (Probabilistic),0.0,0.30000000000000004,0.5089514066496164,0.398,0.44668911335578004,0.507,0.5093696763202725,0.598,0.5501379944802208,0.511,1.000821826337822,1.5025125628140703,1.2315903343765746,1.0078895463510849
SOM,0.0,0.4000000000000001,0.46875,0.48,0.4743083003952569,0.468,0.49430523917995445,0.434,0.46219382321618746,0.495,1.0545178435839029,0.9041666666666667,0.974458643947462,1.0576923076923077
K-Means (Exclusive),0.0,0.4000000000000001,0.5009671179883946,0.518,0.5093411996066863,0.501,0.5041152263374485,0.49,0.4969574036511156,0.504,1.0062840618396174,0.9459459459459459,0.9756866399868428,1.0059880239520957
DBSCAN (Density),0.0,0.4000000000000001,0.5263157894736842,0.02,0.038535645472061654,0.501,0.5,1.0,0.6666666666666666,0.5,0.9500000000000001,50.0,17.3,0.998003992015968
Agglomerative (Hierarchical),0.0,0.4000000000000001,0.49336283185840707,0.446,0.4684873949579832,0.494,0.5179153094462541,0.318,0.3940520446096654,0.511,1.0497655599538425,0.7130044843049327,0.8411155750412589,1.034412955465587
GMM (Probabilistic),0.0,0.4000000000000001,0.500945179584121,0.53,0.5150631681243926,0.501,0.5075921908893709,0.468,0.4869927159209157,0.507,1.0132689395489707,0.8830188679245283,0.9455009522313629,1.0119760479041917
SOM,0.0,0.5000000000000001,0.5320910973084886,0.514,0.5228891149542217,0.531,0.46271929824561403,0.422,0.44142259414225943,0.466,0.8696242064304731,0.8210116731517509,0.844199241326539,0.8775894538606404
K-Means (Exclusive),0.0,0.5000000000000001,0.5124481327800829,0.494,0.5030549898167006,0.512,0.49901768172888017,0.508,0.5034687809712587,0.499,0.9737915894466408,1.0283400809716599,1.0008225565056195,0.974609375
DBSCAN (Density),0.0,0.5000000000000001,0.4166666666666667,0.01,0.01953125,0.498,0.5,1.0,0.6666666666666666,0.5,1.2,100.0,34.13333333333333,1.0040160642570282
Agglomerative (Hierarchical),0.0,0.5000000000000001,0.49002217294900224,0.442,0.4647739221871714,0.491,0.49404761904761907,0.332,0.39712918660287083,0.496,1.008214824391295,0.751131221719457,0.854456688822014,1.010183299389002
GMM (Probabilistic),0.0,0.5000000000000001,0.5063559322033898,0.478,0.49176954732510286,0.506,0.5009940357852882,0.504,0.5024925224327019,0.501,0.9894108154420755,1.0543933054393306,1.0218048782522726,0.9901185770750988
SOM,0.0,0.6000000000000001,0.4924731182795699,0.458,0.47461139896373056,0.493,0.5018518518518519,0.542,0.5211538461538462,0.502,1.0190441533236294,1.1834061135371179,1.0980643265031913,1.0182555780933062
K-Means (Exclusive),0.0,0.6000000000000001,0.5009523809523809,0.526,0.5131707317073171,0.501,0.5019762845849802,0.508,0.5049701789264414,0.502,1.0020439140954929,0.9657794676806083,0.9840198353604608,1.001996007984032
DBSCAN (Density),0.0,0.6000000000000001,0.6923076923076923,0.018,0.03508771929824561,0.505,0.5005025125628141,0.996,0.6662207357859532,0.501,0.7229480737018426,55.333333333333336,18.987290969899668,0.9920792079207921
