Model Number,Input,Overall Accuracy,Sedimentary cover (F1 score),Sedimentary cover (confidence),Psammitic sediment (F1 score),Psammitic sediment (confidence),Felsic intrusive (F1 score),Felsic intrusive (confidence),Pelitic sediment (F1 score),Pelitic sediment (confidence)
Q001,Raw,0.4038,-,0.9997383359620878,-,-,-,0.5621459820400645,-,0.3503016036486685
Q002,Raw,0.31877500000000003,-,0.9373847040737894,-,-,-,-,-,0.4383345424599518
Q003,Raw,0.27507499999999996,-,0.8558307148036652,-,-,-,-,-,0.3708891040883639
Q004,Raw,0.38214,-,0.8186985820000827,-,-,-,-,-,0.5839260369339582
Q005,Raw,0.42558333333333337,-,0.6768105685303137,-,0.5489543388723193,-,-,-,0.4810665066861188
Q006,Raw,0.19921666666666668,-,0.4463825968819973,-,-,-,0.4717712749457139,-,-
Q001,All,0.4723,-,0.9983969353618748,-,0.4394726912918601,-,-,-,0.4319648416041018
Q002,All,0.339775,-,0.8252215272348189,-,-,-,-,-,0.666353120250039
Q003,All,0.286525,-,0.4882051587537976,-,-,-,-,-,0.4437979968685538
Q004,All,0.4897,-,0.7439213838124662,-,-,-,0.495788473897638,-,0.8355898195443987
Q005,All,0.3877,-,0.7636090467630725,-,0.5133262857783544,-,-,-,0.4655786301683094
Q006,All,0.16208333333333333,-,0.4621030908493973,-,-,-,0.6067640716454693,-,-
Q001,PCA,0.4537,-,0.8871072488539801,-,0.544047505333206,-,0.5334062514442407,-,-
Q002,PCA,0.458225,-,0.6792616676269652,-,0.4085370198817074,-,-,-,0.674041811107481
Q003,PCA,0.397825,-,0.4335315058014669,-,0.3651558092815931,-,-,-,0.7184758084733016
Q004,PCA,0.42068000000000005,-,0.7184185095289464,-,-,-,-,-,0.8960651756262007
Q005,PCA,0.41673333333333334,-,0.696902141697379,-,0.6065857158441514,-,-,-,0.4324908367063673
Q006,PCA,0.18108333333333335,-,0.5857759895333937,-,-,-,0.5940054495912807,-,0.3507910529187125
