,precision,recall,f1-score,support
39216,0.8192353538475122,0.793725137944309,0.8062785140126005,46758.0
7667916,0.9030968397004696,0.9003827781468476,0.9017377667242226,31611.0
10028544,0.8867608465017589,0.9254122720121205,0.9056743655546051,34322.0
10055424,0.7927270994185492,0.7370170152428217,0.763857634902411,22568.0
11455488,0.7816229646390701,0.7927015838732901,0.7871232937917476,22224.0
11513775,0.9336668799813834,0.9633191075576684,0.9482612433491192,333198.0
11974326,0.8944293852464957,0.9839108318849361,0.9370387243735763,62713.0
12434877,0.9694013100636709,0.9245724021931453,0.9464563231627553,45779.0
13356032,0.8077093650676325,0.6645240542200546,0.72915380791443,164441.0
13377024,0.8356937768171113,0.7619719967054948,0.7971319988306433,101988.0
13414144,0.8335675850510159,0.8581885551852222,0.8456989094944535,330333.0
16766720,0.6310012288850472,0.9171131898404625,0.7476185775628054,33033.0
accuracy,0.8603665839956777,0.8603665839956777,0.8603665839956777,0.8603665839956777
macro avg,0.8407427196016432,0.8519032437338643,0.8430025966394474,1228968.0
weighted avg,0.8611831939955765,0.8603665839956777,0.8587133524470928,1228968.0
