keep,drop,similarity
83,184,0.9997010589525015
59,207,0.9996589084749541
133,134,0.999645891949412
108,282,0.999628661708465
132,188,0.9995204232294556
165,469,0.9993732101182116
315,545,0.9993486788275769
65,212,0.9993459220741271
12,14,0.9992806471852386
163,216,0.9991011909627379
49,394,0.9990129980817404
88,315,0.9989421309753953
140,259,0.9989100254495423
397,423,0.9988159996684141
370,616,0.9987993802885479
140,215,0.9987967436276282
49,416,0.9986854577346395
15,89,0.9985717030704807
456,578,0.9984932955578628
19,286,0.9984849250419925
289,497,0.9984472757503227
38,163,0.9984231595344805
12,15,0.9983689600498251
131,157,0.9983503843268107
94,599,0.998287957461139
108,155,0.9982386152472467
59,233,0.998203130183777
49,391,0.998187159365711
11,113,0.9981766903714178
16,88,0.998164926944757
130,190,0.9981321552986974
13,115,0.9981032115511553
439,523,0.9980891059136537
49,366,0.9980469624106774
402,513,0.9979882822605718
371,531,0.9979829580707116
120,262,0.9979579376083657
108,133,0.9979419479396254
17,41,0.9978661126636993
12,465,0.997747567122335
85,436,0.9975600788273948
40,189,0.9975595070419363
114,339,0.9974134977383738
39,162,0.9973525003154549
118,135,0.9972773280003702
86,187,0.9972533232476624
13,16,0.997213667420034
31,526,0.9971693937380626
54,387,0.9971687018911997
84,303,0.9971566962570313
65,90,0.9970854403767313
17,118,0.9970800509643203
107,109,0.9970748801419578
158,211,0.9969948389338905
64,65,0.9969915585219886
173,342,0.9969697672208072
42,624,0.99692613124602
132,213,0.996902255932804
31,154,0.9968752524355391
140,164,0.9968183705842092
18,210,0.9967879206615275
18,161,0.996702722520558
63,122,0.9966879257036965
131,234,0.9966608988470627
60,93,0.9966554864012177
4,463,0.9966268766615862
12,38,0.9966211666195625
183,439,0.9965535898004186
175,486,0.9965266509203337
344,516,0.9965232622790601
20,276,0.996430091589354
168,370,0.9964257479353493
84,85,0.9964001014202778
166,180,0.9963947997738087
114,597,0.9962398637811549
12,13,0.9961696414904273
17,536,0.9960120553590275
84,550,0.995867152600713
17,66,0.9958338711710977
344,553,0.995723084653061
344,433,0.9957206117383914
389,418,0.9957114128346807
312,442,0.9956618926714806
344,435,0.995639467392865
130,361,0.995621092054644
37,140,0.995582502983156
344,432,0.9955817367232025
86,107,0.9955670229116832
18,59,0.9955497165799929
20,618,0.9955466503604573
238,598,0.9955298424870096
40,153,0.9954681732459087
83,183,0.9954130764955037
121,264,0.9953934890846277
20,235,0.9953774688865049
94,312,0.9953701507804067
121,285,0.9953534773404319
20,389,0.9952778850440382
18,131,0.9951803126813332
121,236,0.9951272695722644
511,546,0.9950155829459932
121,473,0.9949843491219319
48,461,0.9949461332495164
130,205,0.9948797797345824
138,238,0.9948562192547055
18,83,0.9947276970823786
121,237,0.99465794142638
62,288,0.9946444672072869
256,603,0.9945723672282398
344,506,0.994549404081682
609,617,0.9944497089505819
40,166,0.9943985174936892
12,114,0.9943428342343019
78,81,0.9942176842025904
108,159,0.9939236170009805
98,447,0.9939037826457825
325,449,0.993875905257855
23,344,0.9938317776323953
84,108,0.9938168326855163
18,84,0.9936954582246926
11,139,0.9936269230112375
39,191,0.9936047452057112
165,467,0.9935942308929879
48,260,0.9935910159721495
98,311,0.9935852101834006
487,588,0.9935513135618144
98,494,0.9934918116091648
98,313,0.9934850132482419
98,444,0.9934511568881463
98,492,0.9933257868828989
168,489,0.9932079817771402
20,498,0.9931992036407467
17,165,0.9931745370790668
277,525,0.9931235500195977
67,116,0.9930677971800366
17,62,0.9930662787770069
49,593,0.9930074976747428
48,289,0.9926973843565343
121,606,0.9926274981655107
12,240,0.9923850152889219
54,612,0.992288649894809
144,252,0.9922764017145379
138,401,0.9922581600995659
87,214,0.992239519020476
560,567,0.9920812970935813
226,577,0.9920691842601788
60,132,0.992019003400927
168,623,0.9919241944137259
42,92,0.9918459498549652
123,263,0.9918236287500755
277,325,0.991808559334563
18,64,0.9917631324040025
39,352,0.9915871344056761
27,413,0.9915162439134203
170,560,0.9914072439398429
30,54,0.9912438149618853
17,18,0.9911421385766408
147,258,0.9910946551198492
26,29,0.9910794161302675
57,175,0.9907372666730245
63,98,0.9903607185751544
168,300,0.9899023984905218
20,57,0.989842131988613
17,39,0.9896955231258324
40,152,0.9896912963547844
56,168,0.9896088525202409
5,608,0.9895208968776323
227,601,0.9895104354738462
87,138,0.988811176753432
12,40,0.9885245154298994
226,305,0.9885174385830591
78,562,0.988462298471285
226,547,0.9883707524282713
63,149,0.9882261338388532
31,86,0.9882137981550888
63,123,0.9879482041738387
25,120,0.9879442222799061
63,74,0.9878836355851731
17,94,0.9876690992821957
63,97,0.9874921254090743
49,63,0.9871869788716412
25,443,0.9871396148559046
575,600,0.9868848395098202
201,376,0.9868774208562887
78,204,0.986292909950017
17,182,0.9860619234296357
19,25,0.985875559255186
52,229,0.9858033034525067
60,186,0.9855657178870958
130,602,0.9854851800810536
117,625,0.985010916438505
5,130,0.9847945867230521
10,277,0.9847249977315692
60,87,0.9846737606298392
12,511,0.9846270084536146
31,228,0.9843368015445004
10,226,0.9841870929566872
53,355,0.9841534289569358
5,37,0.9840776902790631
177,544,0.9839232909877098
80,203,0.9838309771550323
6,7,0.9837334110572927
5,11,0.9836807711444131
6,10,0.9833285018712807
68,119,0.9830835194851014
26,284,0.9830758969614184
6,324,0.9830438008023579
42,575,0.9829597895230862
517,609,0.9828361673406621
42,535,0.9821701829963495
31,460,0.9818372635515736
8,53,0.9818130760155312
78,231,0.9817018423874235
68,378,0.9808700557748615
2,304,0.9804215275164285
402,561,0.9804147434932697
103,174,0.9795550660656327
5,12,0.9794616682330339
17,181,0.9793290997711475
17,158,0.9790086371709077
31,60,0.9789566060781987
208,551,0.978942755384002
5,230,0.9785300229372236
490,548,0.9778783874704805
17,209,0.9776023458075445
27,68,0.9775926289857526
17,45,0.9774157293478833
141,167,0.9769933272794222
255,402,0.976759576991599
36,141,0.976403941967976
17,42,0.9763704637977668
377,438,0.9761803598111836
129,570,0.9761549346139908
17,70,0.9759563265384976
61,137,0.975904185355175
17,19,0.9753743933129173
201,512,0.9751717924005084
256,581,0.975131055759092
17,208,0.9751009360168621
17,69,0.9750495425936205
8,78,0.9748409222857417
112,604,0.974308001404283
201,569,0.9734163417292551
17,44,0.9733855956630533
77,543,0.973358267255847
6,256,0.9729569104634155
51,201,0.9712768569308367
6,31,0.9711082679962816
388,474,0.9710297419388749
17,46,0.9701319496306788
6,538,0.9701137312709753
102,611,0.9699496943975117
17,95,0.9697038240596818
17,20,0.9690211794400574
30,51,0.9687236671520567
50,111,0.9684920504725949
17,21,0.968343124068465
17,22,0.9679069799735416
206,605,0.9672352849062309
17,71,0.9671412747009817
77,102,0.9659054059987005
142,143,0.9653053629710233
388,464,0.9641562417643462
76,487,0.9639387757069386
239,490,0.9634684331285888
17,47,0.9619753288230971
103,121,0.9608371524697614
28,36,0.9607576114216991
96,103,0.9594788765568022
17,96,0.9590067547981767
76,596,0.9589290566509161
17,72,0.958927375135981
49,472,0.9574937463509108
5,17,0.9566789795269188
373,524,0.9565305737763288
91,117,0.9554001451912626
30,76,0.9534312442745122
5,595,0.9521494367866381
80,470,0.9514979333708649
388,584,0.9508947370163241
80,441,0.9508729416426664
80,340,0.9508185210563211
28,112,0.9493459054260136
375,392,0.949070840435531
80,445,0.9466871292333049
4,26,0.9459944527970302
80,471,0.9458182546927282
80,518,0.9453215899908236
375,377,0.9452222571043591
28,142,0.9439926146713573
5,388,0.9438400873368462
6,48,0.9434668856703845
80,421,0.9425822131974467
80,496,0.942394673336987
82,177,0.9418361970743855
80,527,0.9416648945893115
6,73,0.9410475923880688
67,227,0.9399370665543265
80,265,0.9389199284337499
80,446,0.9380966932477481
80,147,0.937057936681279
2,4,0.9361283701548979
2,6,0.9334851775385098
80,412,0.9331882373547755
80,127,0.9322696782712041
2,255,0.9303252872780033
80,539,0.9294133830757189
80,357,0.9277200815049715
2,462,0.9274147065876114
362,501,0.9253680686639124
136,354,0.9251580021975789
50,61,0.924877896716899
239,574,0.9238455532025157
82,395,0.9230192008613087
77,568,0.9220415282778003
49,396,0.921909869406793
50,67,0.9216681930791466
58,287,0.9209994152458734
232,362,0.9204223829009859
136,374,0.9201837095316487
129,373,0.9195561960682954
129,386,0.9187172967083888
80,331,0.9168504885686924
80,349,0.9154833642043287
49,393,0.9154803118772812
5,99,0.9145925918187172
80,307,0.9145458053176706
8,80,0.9140492666881508
5,100,0.9136233201167259
341,542,0.9128560672704753
341,369,0.9121862848231164
23,341,0.9116372017238173
5,124,0.9110132766807888
5,350,0.9106659907581536
129,206,0.9099598222238205
5,150,0.9092789887158819
91,239,0.9086860374605206
5,125,0.9085184122797559
176,557,0.9081323188596
136,301,0.9068903225466058
129,485,0.906125888813613
160,176,0.9060328795066541
50,253,0.9057920693340353
105,495,0.901382668839886
27,129,0.9007798782068455
5,50,0.8994478745242259
5,75,0.8987663148568756
105,185,0.8973022209460718
5,49,0.8971729075035424
105,261,0.8964435561547477
77,82,0.8946035376083914
2,27,0.8885436697007881
28,278,0.8759528243788248
77,343,0.8741603725868894
105,499,0.8726674181397256
58,375,0.8690294449589238
136,156,0.8660927388311277
2,77,0.8658016443098604
5,400,0.8568837972485512
5,91,0.8555653301502717
136,232,0.8517721419130202
23,556,0.8447757228197708
105,522,0.8404127998088299
2,8,0.838070570457053
2,333,0.837598952328318
2,353,0.8373037945805176
2,537,0.8356729505747983
2,563,0.8355363463272991
2,399,0.8353264465036115
2,358,0.8339894772300036
2,356,0.8337477162491826
2,179,0.8333030602889349
2,359,0.8329303642225543
2,332,0.832404987191187
136,160,0.8316502835814075
105,368,0.8314566429372561
2,437,0.8309612172778832
2,384,0.8308177682312871
2,348,0.830413036480738
2,56,0.8297644191549404
2,302,0.8284374927853914
2,308,0.8269375264865709
2,517,0.8257219080462872
2,144,0.8251808924920844
2,620,0.8236143092280039
2,397,0.8234910102695047
2,23,0.821742491665291
2,290,0.8210355455359084
2,323,0.8210341424176425
2,24,0.8198133271813056
2,254,0.819307628030699
136,326,0.8182648322297371
136,510,0.8179041763536257
2,217,0.8174287140317795
2,9,0.8170510000219571
2,106,0.8164683863348634
2,508,0.8155643082426594
2,371,0.815324974039241
2,170,0.8151556419686998
2,385,0.8150337455815639
2,410,0.8122514299741292
2,328,0.8118150987225713
58,105,0.8106099317644879
2,409,0.8102384238703542
2,173,0.809652758967256
2,383,0.8064674142025151
2,199,0.8060895641135755
2,610,0.805941403915232
2,580,0.8059400953252641
2,32,0.8056540892883579
2,459,0.8046865103134455
2,622,0.8044471312938606
2,425,0.8037023471779681
2,572,0.8025979382572149
2,434,0.8017006303044955
2,145,0.8007058018341286
2,457,0.8005975856096037
2,475,0.8005072390681582
2,3,0.799969658915893
2,534,0.799235796823677
2,334,0.7975244647550712
2,34,0.7972407004126012
2,283,0.7967750539694899
2,407,0.7964991856592677
2,528,0.7960240868397748
2,502,0.7958132631563248
2,456,0.7955268203764041
2,279,0.7949384493840794
2,101,0.7936738772901668
2,430,0.7927559462337972
2,507,0.7923755690762588
2,242,0.7921327659077928
2,380,0.7918019637974196
2,250,0.7916796154096719
2,405,0.7915649524531392
2,406,0.7914640442396821
2,482,0.7912788965096751
2,424,0.7911394964845775
2,270,0.7910283405565817
2,431,0.7909870664654097
2,248,0.7908817199645116
2,571,0.7908673684202958
2,555,0.7908115678558494
2,224,0.7906233599724897
2,222,0.7902285165427994
2,218,0.7901395608698185
2,579,0.7900775196129761
2,104,0.7900257681834567
2,319,0.7899478305541177
2,249,0.7898775908717088
2,408,0.7897757836421677
2,427,0.789774582019463
2,566,0.7896903986695676
2,195,0.7895611793605795
2,172,0.7895175269141189
2,295,0.7894449269903432
2,565,0.789435235697905
2,540,0.7889799622801555
