cluster,merged
1,1
2,2
3,1
4,4
5,4
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,1
21,1
22,4
23,23
24,4
25,2
26,2
27,1
28,4
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,4
39,4
40,4
41,4
42,1
43,4
44,4
45,1
46,1
47,4
48,1
49,1
51,1
52,1
53,1
54,2
55,1
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,4
64,4
65,1
66,1
67,4
68,4
69,4
70,1
71,1
72,1
73,1
74,1
75,1
76,2
77,4
78,1
79,1
80,1
81,2
82,2
83,2
84,2
85,2
86,2
87,1
88,1
89,2
90,2
91,4
92,1
93,4
94,1
95,4
96,4
97,4
98,1
99,4
100,1
101,1
102,4
103,1
104,2
105,4
108,1
109,1
110,1
111,4
112,4
113,4
114,2
115,2
116,2
117,4
118,4
119,4
120,2
121,4
122,4
123,4
124,4
125,4
126,1
127,1
128,1
129,1
130,2
131,4
132,2
133,2
134,4
135,1
136,1
137,4
138,4
139,4
140,2
141,2
142,4
143,4
144,1
145,2
146,4
147,2
149,1
150,1
152,2
153,2
154,2
155,4
156,2
157,1
159,4
160,4
161,1
162,4
163,1
164,4
165,2
166,1
167,1
168,1
169,2
171,1
172,4
173,2
174,1
175,1
176,4
177,4
179,4
180,2
181,4
182,2
183,4
184,2
185,1
186,1
187,2
188,2
189,2
190,1
191,1
192,1
193,2
194,2
195,2
197,2
198,2
199,2
201,4
202,4
203,2
204,2
205,4
206,4
207,1
208,4
209,4
211,1
212,2
213,2
214,2
215,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
226,1
227,4
228,2
229,2
230,1
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
250,1
251,1
252,1
253,2
254,2
255,2
256,2
257,1
258,4
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,1
281,4
282,1
283,2
284,1
285,2
286,2
287,2
288,2
289,2
290,2
291,1
292,2
293,2
294,2
295,2
296,2
297,2
299,1
300,1
301,2
302,2
303,2
304,2
305,2
306,2
307,1
308,1
309,2
310,1
311,1
312,2
313,2
314,2
315,2
316,4
317,2
318,2
320,2
321,2
322,2
323,4
324,1
325,1
326,2
327,2
328,2
329,4
330,4
331,1
332,1
333,1
334,1
335,4
336,2
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,2
353,4
354,4
355,4
356,4
357,1
358,1
359,4
361,2
362,2
363,2
364,2
365,2
366,2
367,2
369,2
370,2
371,2
372,2
373,2
374,1
375,2
376,2
377,4
378,4
379,4
380,1
381,1
382,4
383,1
384,4
385,1
386,2
387,2
388,2
389,2
390,2
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,4
399,1
400,2
402,2
403,1
404,1
405,1
406,406
407,1
408,1
409,1
411,2
412,2
413,2
414,2
415,2
416,1
417,2
418,2
419,2
420,2
421,2
422,1
423,2
424,4
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,4
437,1
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,1
449,4
450,2
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,2
463,1
464,4
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,1
475,2
476,2
477,2
478,2
479,1
480,2
481,1
482,1
483,1
484,1
485,1
487,4
488,4
489,4
491,2
492,2
493,2
494,2
495,2
496,2
497,4
498,4
499,2
500,1
502,2
503,2
504,4
506,1
507,1
508,1
509,1
510,1
512,1
513,4
514,4
515,1
516,1
518,2
519,1
520,1
521,1
522,4
523,1
524,1
525,2
527,2
528,4
529,2
530,1
531,1
532,1
533,1
534,1
536,1
537,2
538,1
539,1
540,1
541,1
542,1
543,1
544,4
545,2
546,4
547,2
548,4
549,1
550,1
552,2
553,1
554,1
555,1
556,1
557,1
558,1
559,1
561,2
562,1
563,2
564,1
565,1
566,1
567,4
568,2
569,2
570,1
571,2
572,2
573,2
574,4
575,1
576,1
577,1
578,1
579,2
580,1
581,1
582,1
583,1
584,1
585,1
586,4
587,1
588,1
589,4
590,4
591,4
593,4
594,4
595,2
596,2
597,2
598,2
599,2
600,2
601,1
602,1
603,1
604,1
605,1
606,1
607,1
609,4
610,1
611,4
612,2
613,1
614,4
615,4
616,4
617,2
618,2
619,1
620,1
621,1
622,4
623,2
624,1
625,2
