cluster,merged
1,1
2,2
3,1
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
13,2
14,2
18,2
19,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,1
34,2
35,2
36,2
38,2
39,2
41,2
43,2
44,2
46,2
47,2
48,1
49,1
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
65,2
66,2
68,2
69,2
72,2
73,1
74,1
75,2
76,2
77,2
78,2
79,1
80,2
81,2
82,2
83,1
84,1
85,2
87,2
88,2
89,2
90,2
93,2
94,2
95,2
96,2
97,2
98,2
99,1
100,1
101,2
102,2
103,2
104,2
105,2
106,2
107,1
108,1
109,1
110,2
111,2
112,2
113,2
114,2
115,2
116,2
118,2
119,2
120,2
122,2
124,2
125,2
126,2
127,1
128,2
129,1
130,2
131,2
132,2
133,1
134,2
135,2
138,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,1
149,2
150,2
151,2
152,2
153,2
154,2
155,1
156,2
157,157
158,2
159,2
160,1
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,1
175,2
176,1
177,2
178,2
179,1
180,2
181,2
182,2
183,2
184,2
185,1
188,1
189,1
190,2
192,2
193,2
194,1
195,1
196,1
197,2
198,2
199,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,1
211,2
212,2
213,2
214,1
215,1
216,1
217,1
218,2
219,1
220,1
222,2
223,2
224,2
225,1
226,2
227,227
228,2
229,2
230,2
231,2
232,2
233,2
234,2
236,2
237,2
238,2
239,2
240,2
241,1
242,1
243,2
244,2
245,1
246,1
247,2
249,2
250,2
251,1
252,2
253,2
254,1
255,2
256,2
257,2
258,2
259,1
260,2
261,2
262,2
263,2
264,2
265,2
267,1
268,1
269,2
270,1
271,2
272,2
273,2
274,2
275,2
276,1
277,2
278,2
279,1
280,2
281,1
282,1
283,1
284,1
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,1
293,1
294,2
295,1
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,1
309,1
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,1
319,1
321,2
322,2
325,2
326,2
328,2
329,1
330,2
331,2
332,2
333,2
334,1
335,2
337,1
340,2
341,2
342,1
343,1
344,2
345,2
346,2
347,1
348,1
349,1
350,1
351,2
352,2
354,1
355,2
356,2
357,2
358,2
359,2
360,1
361,2
362,1
364,2
365,2
366,1
367,1
368,1
369,1
371,1
372,1
373,1
374,1
375,1
376,2
377,2
378,2
379,2
380,1
381,2
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,2
396,1
397,1
399,1
400,1
401,2
402,2
403,2
405,1
406,2
407,2
408,2
409,1
410,2
411,2
412,2
413,1
414,2
415,2
417,2
418,2
419,2
421,1
422,1
423,2
424,2
425,2
426,2
427,2
429,2
431,1
432,2
433,2
434,2
435,2
436,2
437,2
438,227
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,1
447,1
448,1
449,1
450,1
451,2
453,2
454,2
455,2
456,1
457,1
458,2
459,2
460,2
461,2
462,157
463,2
464,2
465,2
467,2
468,2
469,1
470,1
471,1
472,1
474,1
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,1
486,2
487,2
488,1
489,1
490,1
491,1
493,1
494,1
495,1
496,1
498,1
499,1
500,1
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,1
510,2
511,2
512,2
514,1
515,1
516,1
517,1
519,1
521,1
522,1
523,1
524,1
525,1
526,2
527,2
528,1
529,2
530,2
531,2
533,1
534,2
535,2
536,2
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
553,1
554,2
555,2
556,2
557,1
558,1
559,2
560,2
561,2
562,2
563,2
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,2
577,1
579,2
580,2
581,2
583,1
584,2
585,2
586,2
587,1
588,2
590,1
591,1
592,1
594,2
595,2
596,2
597,1
598,1
599,1
600,1
601,2
602,2
605,2
606,2
607,1
608,2
609,2
610,2
611,2
612,2
613,1
614,2
615,1
616,2
617,227
618,2
619,1
620,1
621,1
622,1
623,2
624,2
625,1
