keep,drop,similarity
452,453,0.9999890116162048
344,368,0.9999885693272993
556,578,0.9999781093029904
477,600,0.9999744746073576
522,571,0.9999737219603607
2,101,0.9999721773134441
452,480,0.9999449632031783
62,102,0.9999321006692954
354,584,0.9999312910031245
29,519,0.999930971206775
452,479,0.9999266152676456
353,451,0.9999251565427595
354,426,0.9999142405933615
452,456,0.9999012803084911
52,137,0.9998963958525662
430,484,0.9998745796701736
346,393,0.9998690624834756
52,136,0.999858960032254
79,86,0.9998401013989073
353,579,0.9998224318506823
452,454,0.9998112078615153
27,29,0.9997594097790332
452,455,0.9997446988757603
363,594,0.9997291717773746
4,527,0.9997192163151782
354,377,0.9997157737669671
52,138,0.9997127110962123
363,522,0.9996835827306485
60,79,0.9996813952224648
428,452,0.9996761454825498
354,427,0.9996558870086758
52,163,0.9996456894705998
556,604,0.9995971202387868
208,244,0.9995910578786497
476,477,0.9995813936784302
2,27,0.9995680454596667
178,544,0.9995631947959984
354,401,0.9995249944362966
363,546,0.9995237706883981
178,592,0.9994924043372432
52,113,0.9994661400166416
178,568,0.999447557587276
52,110,0.9994329832924476
353,378,0.9994303241614069
413,439,0.9994058884895095
127,567,0.9993997247102739
363,570,0.999390341479439
236,261,0.9993488132156976
353,403,0.9993329817200813
293,342,0.999327380945038
354,402,0.99931859787786
353,354,0.9992636000997381
52,139,0.9992409759495078
52,114,0.9992181951712364
363,521,0.999188885174906
52,88,0.9991190994907241
60,104,0.9991082274315628
1,364,0.9991013323475533
178,616,0.9990930174803683
236,287,0.9990485100650491
196,338,0.9990296279501956
178,372,0.9989748609178964
178,591,0.9989460746271941
298,596,0.9988784605750918
178,569,0.9988747421068359
268,317,0.9988657532104752
363,593,0.9987975416435487
1,344,0.9987926042344293
52,112,0.9987864380902305
178,545,0.998767409133064
76,298,0.9986914386800113
94,147,0.9986381216990211
52,111,0.9986331432610052
76,363,0.9985411854087527
142,293,0.9985267139905549
353,379,0.9984590657768071
52,85,0.9984413105087638
380,562,0.9984382219324022
1,2,0.9984169034181543
365,380,0.9983982599769875
196,311,0.9983617936513948
353,531,0.9983198663842201
106,130,0.9983019941041914
353,556,0.998249025260339
52,164,0.9982416241945333
353,529,0.9981752886987313
36,52,0.998174337170669
431,504,0.9981537333144835
353,580,0.9981482384156637
353,554,0.998135533123992
353,376,0.9980720105340914
491,526,0.9978853869881468
430,476,0.9978266213401953
516,560,0.997818244877829
1,397,0.9977836076051808
445,467,0.9977413200583282
1,586,0.9977278053613218
56,516,0.9977191561654986
119,120,0.9977027600584358
313,314,0.9976489686190426
295,558,0.9976006376455427
65,595,0.997519602739172
184,232,0.9975081500884566
127,541,0.9974215297600248
313,315,0.997338484200947
80,282,0.9973156029758192
61,153,0.9972321534365576
71,76,0.9971113006253867
290,313,0.9969898471073363
159,234,0.9969276781604828
178,565,0.9969087483723076
302,329,0.9969070598534023
337,448,0.9969059981656611
142,264,0.996894750062178
318,337,0.9968866471335984
210,237,0.9968734311820922
583,625,0.99683345664841
134,158,0.9968268157517355
109,236,0.996643083846571
208,258,0.9966094818086864
242,382,0.9965987821676853
502,503,0.9964612256628657
276,581,0.9964303448131351
195,341,0.9964276707589472
184,198,0.9963795335606779
61,590,0.9963483943975496
212,235,0.9963380112324075
152,566,0.9963318436043386
1,152,0.9962308547862597
210,343,0.9960828014113907
248,386,0.9960095003690941
134,159,0.9959954163395358
530,555,0.9959058821711382
94,285,0.9958792698114314
1,542,0.9958303033542155
47,312,0.9958226377562125
302,304,0.9957966534524773
47,288,0.9957526333465909
106,132,0.9956605014573241
61,80,0.9956571855089055
133,210,0.9956176799411403
140,220,0.9955592877587798
276,353,0.9955566138376235
91,318,0.9954749863180324
118,140,0.9954341322086204
19,289,0.9953574522429437
19,291,0.9953214063094595
64,184,0.9952405428161188
19,339,0.995061543188376
430,505,0.9950449851166957
42,384,0.9950255231000977
295,387,0.994959197989177
4,28,0.9949378444093687
267,457,0.9947974856702995
278,302,0.9947211107171066
19,316,0.9946977547507032
19,292,0.9946849599427591
106,131,0.9946616963858268
178,367,0.9945064195814052
19,265,0.994446017782403
19,340,0.9944325487684281
61,127,0.9942502826074944
1,3,0.9942468901077608
19,290,0.9940705686248055
19,268,0.994058265287258
489,490,0.9940091653442744
21,208,0.9939196149293781
61,618,0.9938784953532167
276,278,0.9937569312268849
47,507,0.9936842105213032
145,248,0.9934944703443369
36,65,0.9934473848591181
276,424,0.9933758268698205
212,221,0.9932534227472416
68,94,0.9931195548954913
61,71,0.9929710965255795
109,133,0.9928529498835695
61,178,0.992820084156283
373,487,0.9927192361388684
68,223,0.9923435147313141
19,142,0.9923387394259693
418,481,0.9922497714580591
21,22,0.9922183318049249
21,134,0.9920938999921936
47,620,0.9919881207206835
19,171,0.9917710641256647
106,224,0.9916931718350567
276,352,0.9916523929653834
1,295,0.9916519842696481
55,413,0.9916382226558298
419,534,0.9916373814543754
7,396,0.9916309540819452
366,418,0.9916216297319793
321,365,0.9916201791442978
252,276,0.9916133153421517
366,394,0.9916119203754424
1,575,0.9915929044007264
1,30,0.9915625508017153
118,165,0.9915550760061318
7,369,0.9915186585650712
305,502,0.9914540644345484
7,371,0.9914476686665807
491,508,0.991432651666587
119,472,0.9914170016750872
1,56,0.9913971656828151
7,345,0.991349670112589
64,199,0.9912959577124763
19,257,0.9912942232183496
7,346,0.9912032949887589
366,419,0.9912000874493638
19,118,0.9910526766175537
42,73,0.9909730508450316
1,366,0.9908027434065076
19,217,0.9907562629089952
7,321,0.990742244115548
1,7,0.9905811086701983
430,607,0.9904495799745721
19,241,0.9904412880960777
106,174,0.9903495043309352
19,192,0.9902985770497164
19,218,0.9902982488600954
109,207,0.9902221944766584
19,119,0.990208463305887
19,216,0.990198410074107
4,491,0.990051256720334
19,193,0.9899834903189815
1,4,0.9899455938437253
68,233,0.9898610573528899
47,109,0.9898221457126815
68,231,0.9897690420104566
68,121,0.9897362141071775
41,564,0.9897170760027088
106,222,0.9896874209009564
19,191,0.9896871688985984
69,540,0.9896730963582976
272,615,0.9895616774018738
19,167,0.9894493771053205
20,21,0.9893482604731738
19,168,0.9891658360317277
274,414,0.989059645995209
19,194,0.9889276356129185
250,294,0.9888068774744345
47,196,0.9887317700168818
19,242,0.9887033138871152
